.---------------------------------------------------------------------------------------------------.
|                                        Netlify API Methods                                        |
|---------------------------------------------------------------------------------------------------|
| listDeployKeys              | https://open-api.netlify.com/#operation/listDeployKeys              |
| createDeployKey             | https://open-api.netlify.com/#operation/createDeployKey             |
| getDeployKey                | https://open-api.netlify.com/#operation/getDeployKey                |
| deleteDeployKey             | https://open-api.netlify.com/#operation/deleteDeployKey             |
| createSiteInTeam            | https://open-api.netlify.com/#operation/createSiteInTeam            |
| listSitesForAccount         | https://open-api.netlify.com/#operation/listSitesForAccount         |
| listMembersForAccount       | https://open-api.netlify.com/#operation/listMembersForAccount       |
| addMemberToAccount          | https://open-api.netlify.com/#operation/addMemberToAccount          |
| getAccountMember            | https://open-api.netlify.com/#operation/getAccountMember            |
| updateAccountMember         | https://open-api.netlify.com/#operation/updateAccountMember         |
| removeAccountMember         | https://open-api.netlify.com/#operation/removeAccountMember         |
| listPaymentMethodsForUser   | https://open-api.netlify.com/#operation/listPaymentMethodsForUser   |
| listAccountTypesForUser     | https://open-api.netlify.com/#operation/listAccountTypesForUser     |
| listAccountsForUser         | https://open-api.netlify.com/#operation/listAccountsForUser         |
| createAccount               | https://open-api.netlify.com/#operation/createAccount               |
| getAccount                  | https://open-api.netlify.com/#operation/getAccount                  |
| updateAccount               | https://open-api.netlify.com/#operation/updateAccount               |
| cancelAccount               | https://open-api.netlify.com/#operation/cancelAccount               |
| listAccountAuditEvents      | https://open-api.netlify.com/#operation/listAccountAuditEvents      |
| listAgentRunners            | https://open-api.netlify.com/#operation/listAgentRunners            |
| createAgentRunner           | https://open-api.netlify.com/#operation/createAgentRunner           |
| createAgentRunnerUploadUrl  | https://open-api.netlify.com/#operation/createAgentRunnerUploadUrl  |
| getAgentRunner              | https://open-api.netlify.com/#operation/getAgentRunner              |
| updateAgentRunner           | https://open-api.netlify.com/#operation/updateAgentRunner           |
| deleteAgentRunner           | https://open-api.netlify.com/#operation/deleteAgentRunner           |
| archiveAgentRunner          | https://open-api.netlify.com/#operation/archiveAgentRunner          |
| agentRunnerPullRequest      | https://open-api.netlify.com/#operation/agentRunnerPullRequest      |
| agentRunnerCommitToBranch   | https://open-api.netlify.com/#operation/agentRunnerCommitToBranch   |
| listAgentRunnerSessions     | https://open-api.netlify.com/#operation/listAgentRunnerSessions     |
| createAgentRunnerSession    | https://open-api.netlify.com/#operation/createAgentRunnerSession    |
| getAgentRunnerSession       | https://open-api.netlify.com/#operation/getAgentRunnerSession       |
| updateAgentRunnerSession    | https://open-api.netlify.com/#operation/updateAgentRunnerSession    |
| deleteAgentRunnerSession    | https://open-api.netlify.com/#operation/deleteAgentRunnerSession    |
| listFormSubmission          | https://open-api.netlify.com/#operation/listFormSubmission          |
| deleteSubmission            | https://open-api.netlify.com/#operation/deleteSubmission            |
| listServiceInstancesForSite | https://open-api.netlify.com/#operation/listServiceInstancesForSite |
| createServiceInstance       | https://open-api.netlify.com/#operation/createServiceInstance       |
| showServiceInstance         | https://open-api.netlify.com/#operation/showServiceInstance         |
| updateServiceInstance       | https://open-api.netlify.com/#operation/updateServiceInstance       |
| deleteServiceInstance       | https://open-api.netlify.com/#operation/deleteServiceInstance       |
| getServices                 | https://open-api.netlify.com/#operation/getServices                 |
| showService                 | https://open-api.netlify.com/#operation/showService                 |
